Date,City,Region,Category,SubCategory,Sales,Quantity,Profit
12-08-2016,Richardson,Central,Furniture,Furnishings,190.92,5,-147.963
12/27/2015,Houston,Central,Office Supplies,Envelopes,113.328,9,35.415
12/27/2015,Houston,Central,Furniture,Bookcases,532.3992,3,-46.9764
12/27/2015,Houston,Central,Furniture,Chairs,212.058,3,-15.147
12/27/2015,Houston,Central,Technology,Phones,371.168,4,41.7564
09-10-2017,Naperville,Central,Technology,Phones,147.168,4,16.5564
7/17/2016,Los Angeles,West,Office Supplies,Storage,77.88,2,3.894
9/19/2017,Melbourne,South,Office Supplies,Storage,95.616,2,9.5616
03-11-2016,Eagan,Central,Technology,Accessories,45.98,2,19.7714
03-11-2016,Eagan,Central,Office Supplies,Binders,17.46,2,8.2062
10/20/2014,Westland,Central,Office Supplies,Storage,211.96,4,8.4784
6/20/2016,Dover,East,Technology,Accessories,45,3,4.95
6/20/2016,Dover,East,Technology,Phones,21.8,2,6.104
4/18/2015,New Albany,Central,Office Supplies,Binders,38.22,6,17.9634
4/18/2015,New Albany,Central,Office Supplies,Labels,75.18,6,35.3346
4/18/2015,New Albany,Central,Furniture,Furnishings,6.16,2,2.9568
4/18/2015,New Albany,Central,Furniture,Chairs,89.99,1,17.0981
12-11-2016,New York City,East,Office Supplies,Fasteners,15.26,7,6.2566
12-11-2016,New York City,East,Technology,Phones,1029.95,5,298.6855
6/17/2016,Troy,East,Office Supplies,Storage,208.56,6,52.14
6/17/2016,Troy,East,Office Supplies,Paper,32.4,5,15.552
6/17/2016,Troy,East,Furniture,Chairs,319.41,5,7.098
6/17/2016,Troy,East,Office Supplies,Paper,14.56,2,6.9888
6/17/2016,Troy,East,Technology,Accessories,30,2,3.3
6/17/2016,Troy,East,Office Supplies,Binders,48.48,4,16.362
6/17/2016,Troy,East,Office Supplies,Art,1.68,1,0.84
11/24/2015,Los Angeles,West,Technology,Accessories,13.98,2,6.1512
11/24/2015,Los Angeles,West,Office Supplies,Binders,25.824,6,9.3612
11/24/2015,Los Angeles,West,Office Supplies,Paper,146.73,3,68.9631
11/24/2015,Los Angeles,West,Furniture,Furnishings,79.76,4,22.3328
4/30/2015,Chicago,Central,Furniture,Chairs,213.115,5,-15.2225
12-05-2014,Gilbert,West,Office Supplies,Art,1113.024,8,111.3024
12-05-2014,Gilbert,West,Technology,Phones,167.968,4,62.988
06-04-2016,Springfield,South,Office Supplies,Paper,75.88,2,35.6636
9/18/2016,New York City,East,Office Supplies,Binders,4.616,1,1.731
9/14/2017,Jackson,Central,Office Supplies,Paper,19.05,3,8.763
4/26/2015,Memphis,South,Furniture,Chairs,831.936,8,-114.3912
4/26/2015,Memphis,South,Furniture,Furnishings,97.04,2,1.213
4/26/2015,Memphis,South,Office Supplies,Storage,72.784,1,-18.196
12-09-2017,Houston,Central,Office Supplies,Binders,1.248,3,-1.9344
12-09-2017,Houston,Central,Furniture,Furnishings,9.708,3,-5.8248
12-09-2017,Houston,Central,Office Supplies,Storage,27.24,3,2.724
11/26/2014,Houston,Central,Furniture,Furnishings,19.3,5,-14.475
06-12-2016,Decatur,South,Office Supplies,Appliances,208.16,1,56.2032
06-12-2016,Decatur,South,Office Supplies,Binders,16.74,3,8.0352
10-12-2014,San Francisco,West,Office Supplies,Art,14.9,5,4.172
10-12-2014,San Francisco,West,Office Supplies,Storage,21.39,1,6.2031
09-03-2015,Durham,South,Office Supplies,Envelopes,200.984,7,62.8075
11/13/2017,Chicago,Central,Office Supplies,Storage,230.376,3,-48.9549
5/28/2017,Columbia,South,Furniture,Chairs,301.96,2,33.2156
10/26/2017,Rochester,Central,Technology,Accessories,19.99,1,6.7966
10/26/2017,Rochester,Central,Office Supplies,Labels,6.16,2,2.9568
04-05-2016,Houston,Central,Office Supplies,Storage,158.368,7,13.8572
9/17/2016,Los Angeles,West,Office Supplies,Art,20.1,3,6.633
9/17/2016,Los Angeles,West,Technology,Phones,73.584,2,8.2782
9/17/2016,Los Angeles,West,Office Supplies,Paper,6.48,1,3.1104
1/31/2015,Minneapolis,Central,Office Supplies,Paper,12.96,2,6.2208
1/31/2015,Minneapolis,Central,Furniture,Furnishings,53.34,3,16.5354
1/31/2015,Minneapolis,Central,Office Supplies,Binders,32.96,2,16.1504
11-06-2017,Portland,West,Office Supplies,Binders,5.682,1,-3.788
11-09-2017,New York City,East,Furniture,Furnishings,96.53,7,40.5426
6/17/2017,San Francisco,West,Office Supplies,Binders,51.312,3,17.9592
09-06-2016,Saint Paul,Central,Office Supplies,Appliances,77.88,6,22.5852
8/29/2016,Chicago,Central,Office Supplies,Paper,64.624,7,22.6184
8/29/2016,Chicago,Central,Technology,Accessories,95.976,3,-10.7973
8/29/2016,Chicago,Central,Office Supplies,Binders,1.788,3,-3.0396
12-01-2016,Rochester,Central,Office Supplies,Paper,23.92,4,11.7208
11/13/2015,Aurora,West,Technology,Accessories,238.896,6,-26.8758
11/13/2015,Aurora,West,Furniture,Furnishings,102.36,3,-3.8385
11/13/2015,Aurora,West,Office Supplies,Binders,36.882,3,-25.8174
11/23/2017,Charlotte,South,Technology,Accessories,74.112,8,17.6016
11/23/2017,Charlotte,South,Technology,Phones,27.992,1,2.0994
11/23/2017,Charlotte,South,Office Supplies,Art,3.304,1,1.0738
10/15/2015,Orland Park,Central,Technology,Accessories,339.96,5,67.992
12/25/2017,New York City,East,Furniture,Furnishings,41.96,2,10.9096
11-03-2016,Urbandale,Central,Office Supplies,Art,75.96,2,22.788
11-03-2016,Urbandale,Central,Office Supplies,Binders,27.24,6,13.3476
8/25/2014,Columbus,East,Office Supplies,Fasteners,40.096,14,14.5348
8/25/2014,Columbus,East,Office Supplies,Envelopes,4.72,2,1.652
8/25/2014,Columbus,East,Office Supplies,Paper,23.976,3,7.4925
8/25/2014,Columbus,East,Office Supplies,Envelopes,130.464,6,44.0316
03-02-2015,Seattle,West,Furniture,Tables,787.53,3,165.3813
04-05-2015,Bristol,South,Office Supplies,Binders,157.794,1,-115.7156
06-12-2016,Wilmington,East,Furniture,Furnishings,47.04,3,18.3456
06-12-2016,Wilmington,East,Office Supplies,Binders,30.84,4,13.878
06-12-2016,Wilmington,East,Office Supplies,Storage,226.56,6,63.4368
06-12-2016,Wilmington,East,Office Supplies,Envelopes,115.02,9,51.759
06-12-2016,Wilmington,East,Technology,Phones,68.04,7,19.7316
12/26/2014,Houston,Central,Furniture,Chairs,600.558,3,-8.5794
9/20/2014,Bloomington,Central,Furniture,Tables,617.7,6,-407.682
11-05-2017,Phoenix,West,Office Supplies,Binders,2.388,2,-1.8308
11-05-2017,Phoenix,West,Office Supplies,Storage,243.992,7,30.499
11-06-2016,Los Angeles,West,Furniture,Chairs,81.424,2,-9.1602
11-06-2016,Los Angeles,West,Furniture,Furnishings,238.56,3,26.2416
02-02-2017,Columbus,East,Technology,Phones,59.97,5,-11.994
02-02-2017,Columbus,East,Office Supplies,Paper,78.304,2,29.364
02-02-2017,Columbus,East,Office Supplies,Fasteners,21.456,9,6.9732
10/13/2016,Roseville,West,Office Supplies,Paper,20.04,3,9.6192
10/13/2016,Roseville,West,Office Supplies,Paper,35.44,1,16.6568
10/13/2016,Roseville,West,Office Supplies,Art,11.52,4,3.456
10/13/2016,Roseville,West,Office Supplies,Fasteners,4.02,2,1.9698
10/13/2016,Roseville,West,Office Supplies,Binders,76.176,3,26.6616
10/13/2016,Roseville,West,Office Supplies,Supplies,65.88,6,18.4464
10/13/2016,Roseville,West,Furniture,Furnishings,43.12,14,20.6976
09-05-2016,Philadelphia,East,Furniture,Furnishings,82.8,2,10.35
9/18/2017,San Francisco,West,Office Supplies,Art,8.82,3,2.3814
9/18/2017,San Francisco,West,Office Supplies,Envelopes,10.86,3,5.1042
9/18/2017,San Francisco,West,Office Supplies,Paper,143.7,3,68.976
12/22/2017,Independence,Central,Office Supplies,Appliances,839.43,3,218.2518
09-07-2015,Pasadena,West,Office Supplies,Storage,671.93,7,20.1579
10/22/2014,Newark,East,Furniture,Furnishings,93.888,4,12.9096
12-05-2016,Franklin,Central,Technology,Phones,384.45,11,103.8015
12-05-2016,Franklin,Central,Technology,Phones,149.97,3,5.9988
12-05-2016,Franklin,Central,Furniture,Chairs,1951.84,8,585.552
12-05-2016,Franklin,Central,Office Supplies,Binders,171.55,5,80.6285
3/13/2016,Scottsdale,West,Office Supplies,Appliances,157.92,5,17.766
3/13/2016,Scottsdale,West,Technology,Phones,203.184,2,15.2388
5/31/2015,San Jose,West,Office Supplies,Paper,58.38,7,26.271
5/31/2015,San Jose,West,Office Supplies,Paper,105.52,4,48.5392
5/31/2015,San Jose,West,Office Supplies,Storage,80.88,6,21.0288
5/28/2015,Seattle,West,Office Supplies,Art,6.63,3,1.7901
03-01-2014,Seattle,West,Furniture,Chairs,457.568,2,51.4764
11/20/2016,Edmond,Central,Office Supplies,Labels,14.62,2,6.8714
11/20/2016,Edmond,Central,Technology,Phones,944.93,7,236.2325
05-11-2016,Los Angeles,West,Office Supplies,Paper,5.98,1,2.691
12/28/2015,Philadelphia,East,Technology,Accessories,54.384,2,1.3596
11/16/2016,Carlsbad,West,Office Supplies,Envelopes,28.4,5,13.348
11-07-2016,Seattle,West,Office Supplies,Binders,27.68,2,9.688
09-08-2014,San Antonio,Central,Office Supplies,Art,9.936,3,2.7324
09-08-2014,San Antonio,Central,Technology,Machines,8159.952,8,-1359.992
09-08-2014,San Antonio,Central,Office Supplies,Storage,275.928,3,-58.6347
09-08-2014,San Antonio,Central,Furniture,Chairs,1740.06,9,-24.858
09-08-2014,San Antonio,Central,Office Supplies,Art,32.064,6,6.8136
09-08-2014,San Antonio,Central,Office Supplies,Appliances,177.98,5,-453.849
09-08-2014,San Antonio,Central,Technology,Phones,143.976,3,8.9985
08-05-2014,Los Angeles,West,Office Supplies,Paper,20.94,3,9.8418
08-05-2014,Los Angeles,West,Office Supplies,Paper,110.96,2,53.2608
08-05-2014,Los Angeles,West,Furniture,Chairs,340.144,7,21.259
9/14/2014,Chicago,Central,Office Supplies,Appliances,52.448,2,-131.12
9/14/2014,Chicago,Central,Office Supplies,Labels,20.16,4,6.552
4/21/2017,Houston,Central,Office Supplies,Appliances,97.264,4,-243.16
11/21/2015,Newark,East,Furniture,Chairs,396.802,7,-11.3372
11/21/2015,Newark,East,Office Supplies,Supplies,15.88,5,-3.7715
12/15/2015,New York City,East,Office Supplies,Art,3.28,1,1.4104
12-05-2014,Decatur,Central,Office Supplies,Storage,24.816,2,1.8612
12-05-2014,Decatur,Central,Technology,Accessories,408.744,7,76.6395
11/19/2014,Monroe,South,Technology,Phones,503.96,4,131.0296
11/19/2014,Monroe,South,Technology,Phones,149.95,5,41.986
11/19/2014,Monroe,South,Technology,Accessories,29,2,7.25
11/28/2016,Fairfield,East,Office Supplies,Binders,7.16,2,3.4368
8/26/2014,Los Angeles,West,Technology,Accessories,176.8,8,22.984
7/16/2016,Grand Prairie,Central,Office Supplies,Storage,37.224,3,3.7224
7/16/2016,Grand Prairie,Central,Office Supplies,Paper,20.016,3,6.255
10-12-2015,New York City,East,Furniture,Bookcases,899.136,4,112.392
10-12-2015,New York City,East,Technology,Phones,71.76,6,20.0928
10-12-2015,New York City,East,Office Supplies,Paper,51.84,8,24.8832
10-12-2015,New York City,East,Furniture,Bookcases,626.352,3,46.9764
10-12-2015,New York City,East,Office Supplies,Art,19.9,5,6.567
10/31/2015,Redlands,West,Office Supplies,Envelopes,14.28,7,6.7116
3/21/2014,Hamilton,East,Office Supplies,Art,7.408,2,1.2038
3/21/2014,Hamilton,East,Office Supplies,Art,6.048,3,1.5876
11-06-2017,Westfield,East,Office Supplies,Storage,46.26,3,12.0276
07-06-2017,Philadelphia,East,Office Supplies,Binders,2.946,2,-2.2586
07-06-2017,Philadelphia,East,Office Supplies,Paper,16.056,3,5.8203
6/24/2017,Akron,East,Office Supplies,Paper,21.744,3,6.795
08-03-2014,Denver,West,Furniture,Tables,218.75,2,-161.875
08-03-2014,Denver,West,Office Supplies,Appliances,2.6,1,0.2925
12/17/2017,Dallas,Central,Office Supplies,Appliances,66.284,2,-178.9668
06-03-2017,Franklin,South,Furniture,Furnishings,35.168,7,9.6712
12-09-2017,Whittier,West,Technology,Phones,444.768,4,44.4768
12-01-2017,Saginaw,Central,Office Supplies,Storage,83.92,4,5.8744
12-01-2017,Saginaw,Central,Technology,Phones,131.98,2,35.6346
12-01-2017,Saginaw,Central,Office Supplies,Binders,15.92,4,7.4824
12-01-2017,Saginaw,Central,Office Supplies,Fasteners,52.29,9,16.2099
12-01-2017,Saginaw,Central,Office Supplies,Storage,91.99,1,3.6796
02-09-2015,Dallas,Central,Technology,Accessories,20.8,2,6.5
01-02-2015,Medina,East,Office Supplies,Labels,23.68,2,8.88
01-02-2015,Medina,East,Furniture,Bookcases,452.45,5,-244.323
01-02-2015,Medina,East,Technology,Phones,62.982,3,-14.6958
01-02-2015,Medina,East,Technology,Machines,1188,9,-950.4
01-02-2015,Medina,East,Technology,Accessories,89.584,2,4.4792
10/28/2016,Los Angeles,West,Office Supplies,Storage,93.06,6,26.0568
10/28/2016,Los Angeles,West,Technology,Phones,302.376,3,22.6782
12/24/2015,Dublin,East,Office Supplies,Fasteners,5.584,2,1.8148
12/24/2015,Dublin,East,Office Supplies,Paper,22.704,6,8.2302
12/24/2015,Dublin,East,Office Supplies,Binders,19.776,4,-13.8432
12/24/2015,Dublin,East,Furniture,Furnishings,72.704,4,19.0848
12/24/2015,Dublin,East,Technology,Machines,479.988,4,-383.9904
12/24/2015,Dublin,East,Office Supplies,Art,27.168,2,2.7168
08-09-2015,Detroit,Central,Office Supplies,Art,2.2,1,0.968
08-09-2015,Detroit,Central,Furniture,Tables,622.45,5,136.939
08-09-2015,Detroit,Central,Office Supplies,Storage,21.98,1,0.2198
2/28/2015,Columbia,South,Furniture,Chairs,161.568,2,-28.2744
2/28/2015,Columbia,South,Furniture,Chairs,389.696,8,43.8408
9/13/2014,Charlotte,South,Office Supplies,Binders,18.648,7,-12.432
04-07-2017,Tampa,South,Furniture,Tables,233.86,2,-102.048
04-07-2017,Tampa,South,Furniture,Tables,620.6145,3,-248.2458
04-07-2017,Tampa,South,Office Supplies,Binders,5.328,2,-3.552
04-07-2017,Tampa,South,Furniture,Furnishings,258.072,3,0
04-07-2017,Tampa,South,Technology,Accessories,617.976,3,-7.7247
11-12-2017,Santa Clara,West,Office Supplies,Paper,10.56,2,4.752
06-04-2016,Chicago,Central,Office Supplies,Paper,25.92,5,9.396
06-04-2016,Chicago,Central,Furniture,Furnishings,419.68,5,-356.728
06-04-2016,Chicago,Central,Furniture,Furnishings,11.688,3,-4.6752
06-04-2016,Chicago,Central,Technology,Phones,31.984,2,11.1944
06-04-2016,Chicago,Central,Furniture,Tables,177.225,5,-120.513
06-04-2016,Chicago,Central,Furniture,Furnishings,4.044,3,-2.8308
06-04-2016,Chicago,Central,Office Supplies,Art,7.408,2,1.2038
06-01-2014,Lakeville,Central,Furniture,Chairs,2001.86,7,580.5394
06-01-2014,Lakeville,Central,Office Supplies,Storage,166.72,2,41.68
06-01-2014,Lakeville,Central,Office Supplies,Paper,47.88,6,23.94
06-01-2014,Lakeville,Central,Office Supplies,Appliances,1503.25,5,496.0725
06-01-2014,Lakeville,Central,Office Supplies,Paper,25.92,4,12.4416
12-10-2016,San Francisco,West,Furniture,Chairs,321.568,2,28.1372
09-11-2016,San Diego,West,Office Supplies,Paper,7.61,1,3.5767
09-11-2016,San Diego,West,Technology,Accessories,3347.37,13,636.0003
12-10-2016,New York City,East,Office Supplies,Storage,80.58,6,22.5624
12-10-2016,New York City,East,Office Supplies,Envelopes,361.92,4,162.864
11/28/2015,Chicago,Central,Furniture,Furnishings,12.132,9,-8.4924
11/28/2015,Chicago,Central,Office Supplies,Storage,82.368,2,-19.5624
11/28/2015,Chicago,Central,Office Supplies,Storage,53.92,5,4.044
11/28/2015,Chicago,Central,Technology,Phones,647.904,6,56.6916
12-01-2017,New York City,East,Technology,Accessories,20.37,3,6.9258
12-01-2017,New York City,East,Office Supplies,Storage,221.55,3,6.6465
12-01-2017,New York City,East,Office Supplies,Binders,17.52,5,6.132
06-08-2017,Pasadena,Central,Office Supplies,Appliances,1.624,2,-4.466
9/19/2014,Houston,Central,Technology,Machines,3059.982,3,-509.997
9/19/2014,Houston,Central,Technology,Machines,2519.958,7,-251.9958
06-06-2016,Chicago,Central,Technology,Phones,328.224,4,28.7196
11-10-2015,Brentwood,West,Technology,Accessories,79.9,2,35.156
6/16/2017,Chapel Hill,South,Office Supplies,Art,14.016,3,4.7304
1/22/2016,Morristown,East,Office Supplies,Fasteners,7.56,6,0.3024
12-09-2017,Cincinnati,East,Office Supplies,Storage,37.208,1,-7.4416
12-09-2017,Cincinnati,East,Office Supplies,Envelopes,57.576,3,21.591
12/28/2017,San Francisco,West,Office Supplies,Storage,725.84,4,210.4936
7/30/2015,San Francisco,West,Technology,Accessories,209.93,7,92.3692
7/30/2015,San Francisco,West,Furniture,Furnishings,5.28,3,2.3232
7/30/2015,San Francisco,West,Office Supplies,Binders,10.92,3,4.095
9/16/2017,Inglewood,West,Office Supplies,Paper,8.82,2,4.0572
9/16/2017,Inglewood,West,Office Supplies,Art,5.98,1,1.5548
10/13/2017,Philadelphia,East,Office Supplies,Paper,11.648,2,4.0768
10/13/2017,Philadelphia,East,Office Supplies,Paper,18.176,4,5.9072
10/13/2017,Philadelphia,East,Office Supplies,Storage,59.712,6,5.9712
10/13/2017,Philadelphia,East,Office Supplies,Labels,24.84,3,8.694
9/26/2015,Houston,Central,Office Supplies,Binders,2.08,5,-3.432
9/26/2015,Houston,Central,Technology,Phones,1114.4,7,376.11
11-02-2015,Los Angeles,West,Furniture,Tables,1038.84,5,51.942
9/26/2015,Portland,West,Office Supplies,Paper,141.76,5,47.844
9/26/2015,Portland,West,Technology,Accessories,239.8,5,47.96
9/26/2015,Portland,West,Office Supplies,Paper,31.104,6,10.8864
12/18/2016,Tamarac,South,Office Supplies,Binders,254.058,7,-169.372
12/18/2016,Tamarac,South,Office Supplies,Appliances,194.528,2,24.316
12/18/2016,Tamarac,South,Office Supplies,Supplies,961.48,5,-204.3145
11/20/2016,Columbus,East,Office Supplies,Fasteners,19.096,7,6.6836
11/20/2016,Columbus,East,Office Supplies,Labels,18.496,8,6.2424
11/20/2016,Columbus,East,Technology,Accessories,255.984,2,54.3966
11/20/2016,Columbus,East,Furniture,Bookcases,86.97,3,-48.7032
12/26/2014,Colorado Springs,West,Furniture,Furnishings,300.416,8,78.8592
12/26/2014,Colorado Springs,West,Furniture,Chairs,230.352,3,20.1558
12/26/2014,Colorado Springs,West,Furniture,Furnishings,218.352,3,-24.5646
12/26/2014,Colorado Springs,West,Office Supplies,Binders,78.6,5,-62.88
12/26/2014,Colorado Springs,West,Office Supplies,Fasteners,27.552,3,9.2988
10/28/2016,Belleville,East,Office Supplies,Paper,32.4,5,15.552
10/28/2016,Belleville,East,Office Supplies,Storage,1082.48,8,10.8248
10/28/2016,Belleville,East,Office Supplies,Paper,56.91,3,27.3168
10/28/2016,Belleville,East,Furniture,Furnishings,77.6,4,38.024
10/28/2016,Belleville,East,Office Supplies,Binders,14.28,1,6.5688
11/19/2017,Chicago,Central,Furniture,Tables,219.075,3,-131.445
05-04-2015,New York City,East,Furniture,Furnishings,26.8,2,12.864
12/30/2014,Taylor,Central,Office Supplies,Art,9.84,3,2.8536
06-01-2014,Lakewood,East,Office Supplies,Binders,45.48,3,20.9208
06-01-2014,Lakewood,East,Office Supplies,Art,289.2,6,83.868
4/15/2017,Arlington,South,Office Supplies,Art,4.89,1,2.0049
09-12-2016,Arvada,West,Furniture,Furnishings,15.136,4,3.5948
09-12-2016,Arvada,West,Furniture,Chairs,466.768,2,52.5114
09-12-2016,Arvada,West,Furniture,Furnishings,15.232,1,1.7136
09-12-2016,Arvada,West,Office Supplies,Labels,6.264,3,2.0358
9/27/2014,Hackensack,East,Furniture,Furnishings,87.54,3,37.6422
08-09-2014,Saint Petersburg,South,Technology,Phones,178.384,2,22.298
08-09-2014,Saint Petersburg,South,Office Supplies,Paper,15.552,3,5.4432
12/28/2014,Philadelphia,East,Office Supplies,Art,99.136,4,8.6744
11-04-2014,New York City,East,Furniture,Chairs,135.882,1,24.1568
11-04-2014,New York City,East,Technology,Machines,3991.98,2,1995.99
11-04-2014,New York City,East,Technology,Phones,275.94,6,80.0226
11-04-2014,New York City,East,Technology,Accessories,360,4,129.6
11-04-2014,New York City,East,Office Supplies,Storage,43.57,1,13.071
9/19/2014,Long Beach,West,Office Supplies,Fasteners,7.16,2,3.58
4/23/2016,Hesperia,West,Office Supplies,Binders,251.52,6,81.744
4/23/2016,Hesperia,West,Technology,Accessories,99.99,1,34.9965
11-03-2017,Murfreesboro,South,Furniture,Furnishings,15.992,1,0.9995
8/30/2016,Philadelphia,East,Technology,Phones,290.898,3,-67.8762
8/30/2016,Philadelphia,East,Office Supplies,Storage,54.224,2,3.389
8/30/2016,Philadelphia,East,Furniture,Chairs,786.744,4,-258.5016
8/30/2016,Philadelphia,East,Office Supplies,Labels,100.24,10,33.831
8/30/2016,Philadelphia,East,Office Supplies,Binders,37.764,6,-27.6936
4/25/2016,Philadelphia,East,Technology,Phones,82.8,2,-20.7
4/25/2016,Philadelphia,East,Office Supplies,Binders,20.724,2,-13.816
4/25/2016,Philadelphia,East,Office Supplies,Binders,4.896,3,-3.4272
09-01-2015,Los Angeles,West,Office Supplies,Binders,4.752,1,1.6038
09-01-2015,Los Angeles,West,Technology,Copiers,959.984,2,335.9944
09-01-2015,Los Angeles,West,Office Supplies,Binders,14.368,4,4.49
07-12-2014,San Francisco,West,Office Supplies,Binders,7.712,2,2.7956
07-12-2014,San Francisco,West,Furniture,Tables,698.352,3,-17.4588
6/22/2015,Layton,West,Office Supplies,Fasteners,4.96,4,2.3312
4/13/2014,Philadelphia,East,Office Supplies,Art,17.856,4,1.116
4/13/2014,Philadelphia,East,Office Supplies,Binders,509.97,10,-407.976
4/13/2014,Philadelphia,East,Office Supplies,Fasteners,30.992,13,10.0724
4/13/2014,Philadelphia,East,Technology,Phones,71.928,12,8.3916
12/20/2015,Austin,Central,Office Supplies,Storage,88.8,4,-2.22
6/15/2017,San Francisco,West,Technology,Phones,47.976,3,4.7976
07-08-2017,Lowell,East,Office Supplies,Art,7.56,3,3.0996
07-08-2017,Lowell,East,Office Supplies,Paper,24.56,2,11.5432
07-08-2017,Lowell,East,Office Supplies,Art,12.96,2,4.1472
09-01-2016,New York City,East,Technology,Accessories,6.79,1,2.3086
09-01-2016,New York City,East,Office Supplies,Paper,24.56,2,11.5432
09-01-2016,New York City,East,Office Supplies,Binders,3.048,1,1.0668
09-01-2016,New York City,East,Office Supplies,Paper,49.12,4,23.0864
09-01-2016,New York City,East,Office Supplies,Binders,4355.168,4,1415.4296
04-08-2016,New York City,East,Furniture,Bookcases,388.704,6,-4.8588
04-08-2016,New York City,East,Office Supplies,Envelopes,8.26,2,3.7996
04-08-2016,New York City,East,Office Supplies,Art,17.04,4,6.9864
04-08-2016,New York City,East,Office Supplies,Paper,34.4,5,15.824
4/23/2016,Charlotte,South,Office Supplies,Paper,36.24,5,11.325
03-08-2017,Columbus,South,Office Supplies,Appliances,647.84,8,168.4384
03-08-2017,Columbus,South,Office Supplies,Labels,20.7,2,9.936
9/25/2017,New York City,East,Office Supplies,Labels,20.7,2,9.936
9/25/2017,New York City,East,Furniture,Chairs,488.646,3,86.8704
9/25/2017,New York City,East,Office Supplies,Art,5.56,2,1.4456
9/25/2017,New York City,East,Furniture,Furnishings,47.12,8,20.7328
9/24/2014,San Francisco,West,Office Supplies,Storage,211.96,4,8.4784
10/21/2016,Manchester,East,Office Supplies,Binders,23.2,4,10.44
10/21/2016,Manchester,East,Office Supplies,Supplies,7.36,2,0.1472
10/21/2016,Manchester,East,Office Supplies,Storage,104.79,7,29.3412
10/21/2016,Manchester,East,Furniture,Bookcases,1043.92,4,271.4192
5/29/2017,Harlingen,Central,Office Supplies,Paper,25.92,5,9.396
5/29/2017,Harlingen,Central,Office Supplies,Storage,53.424,3,4.6746
7/23/2014,Tucson,West,Office Supplies,Binders,8.16,5,-5.712
7/23/2014,Tucson,West,Technology,Accessories,1023.936,8,179.1888
7/23/2014,Tucson,West,Office Supplies,Art,9.24,1,0.924
7/23/2014,Tucson,West,Technology,Accessories,479.04,10,-29.94
9/28/2016,Quincy,Central,Office Supplies,Paper,99.136,4,30.98
8/27/2017,Franklin,East,Furniture,Tables,1488.424,7,-297.6848
4/28/2015,Houston,Central,Office Supplies,Appliances,8.652,3,-20.3322
4/28/2015,Houston,Central,Office Supplies,Storage,23.832,3,2.6811
4/28/2015,Houston,Central,Office Supplies,Binders,12.176,4,-18.8728
10/28/2016,San Francisco,West,Office Supplies,Paper,50.96,7,25.48
10/28/2016,San Francisco,West,Office Supplies,Binders,49.536,3,17.3376
6/26/2015,Taylor,Central,Technology,Accessories,41.9,2,8.799
11/27/2015,Pembroke Pines,South,Furniture,Tables,375.4575,3,-157.0095
